career_id,career_name,description,required_stream,min_percentage,entrance_exams,top_jk_colleges,avg_starting_salary_lpa,salary_5_years_lpa,key_skills,job_roles,growth_prospects,jk_opportunities,study_duration_years,recommended_certifications
11,Teacher (B.Ed),"Educate students, develop curriculum and manage classroom teaching",Any Graduate,50%,B.Ed Entrance,University of Kashmir|CUK|Govt Colleges of Education,2.5-4,5-10,"Teaching|Communication|Subject Knowledge|Classroom Management|Patience|Curriculum Design","School Teacher|Education Officer|Principal|Curriculum Designer|Education Consultant|Tutor",Good - Teaching profession always needed,Government Schools|Private Schools|Coaching Centers|Education Department|Colleges,2 (B.Ed after graduation),"B.Ed Degree|TET|CTET|Subject-specific certifications"
12,Pharmacist (B.Pharma),"Dispense medicines, provide drug information and manage pharmaceutical operations",Science (PCB/PCM),50%,JEE Main|State Pharmacy,Govt Medical College Jammu|Private Pharmacy Colleges,2.5-4,5-10,"Pharmaceutical Chemistry|Pharmacology|Drug Formulation|Quality Control|Regulatory Affairs","Pharmacist|Drug Inspector|Medical Representative|Quality Control Analyst|Research Scientist",Good - Pharmaceutical industry growing,Government Hospitals|Private Pharmacies|Drug Control Department|Pharmaceutical Companies,4 (B.Pharma),"B.Pharma Degree|Pharmacy Council Registration|Clinical Research Certification"
13,Web Developer,"Create and maintain websites and web applications using programming languages",Any Stream (Maths preferred),50%,CUET|University Entrance,University of Kashmir|IUST|GDC Bemina|GDC Baramulla (BCA),3-5,8-15,"HTML|CSS|JavaScript|React|Node.js|Database|Git|Responsive Design","Web Developer|Frontend Developer|Backend Developer|Full Stack Developer|UI Developer",Excellent - Digital transformation creating high demand,IT Companies|Startups|Digital Agencies|Freelancing|Remote Work|E-commerce,3 (BCA) or 4 (B.Tech),"freeCodeCamp|Google Web Developer|Meta Frontend|AWS Certified"
14,Graphic Designer,"Create visual content for brands, marketing materials and digital media",Any Stream,40%,Design Entrance|Portfolio,Private Design Institutes,2-4,5-12,"Adobe Photoshop|Illustrator|InDesign|Creativity|Color Theory|Typography|Branding","Graphic Designer|UI/UX Designer|Brand Designer|Visual Designer|Creative Director",Moderate - Growing with digital marketing boom,Advertising Agencies|Design Studios|Media Houses|Startups|Freelancing|E-commerce,3-4 (Design Degree/Diploma),"Adobe Certified|Google UX Design|Figma Certification"
15,Bank Officer (PO),"Manage banking operations, customer service and financial transactions",Any Graduate,60%,IBPS PO|SBI PO,J&K Bank|SBI|PNB|Other Nationalized Banks,3-5,7-15,"Banking|Finance|Customer Service|Communication|Numerical Ability|Computer Skills","Bank PO|Branch Manager|Loan Officer|Credit Officer|Financial Advisor|Relationship Manager",Good - Banking sector stable with government job security,J&K Bank|Nationalized Banks|Private Banks|Cooperative Banks|NBFCs,Graduation + Bank Exam,"JAIIB|CAIIB|Certified Financial Planner"
16,Agricultural Officer,"Manage farming operations, provide guidance to farmers and implement agricultural schemes",Science (PCB/PCM/Agriculture),45%,ICAR AIEEA,SKUAST Kashmir|SKUAST Jammu,3-5,7-12,"Agriculture Science|Crop Management|Soil Science|Horticulture|Farm Management|Extension","Agricultural Officer|Farm Manager|Horticulturist|Soil Scientist|Extension Officer|Agri-entrepreneur",Excellent - J&K is agriculture-based economy,Agriculture Department|Horticulture Department|SKUAST|Krishi Vigyan Kendras|Agri-startups,4 (B.Sc Agriculture),"B.Sc Agriculture|M.Sc Agriculture|Organic Farming Certification"
17,Architect,"Design buildings and structures combining aesthetics with functionality",Science (PCM),50%,NATA|JEE Main Paper 2,NIT Srinagar (B.Arch)|Private Architecture Colleges,3.5-6,8-18,"Design|AutoCAD|3D Modeling|Creativity|Structural Knowledge|Visualization|Revit|SketchUp","Architect|Urban Planner|Interior Designer|Landscape Architect|Project Consultant",Good - Urban development and smart cities,Architecture Firms|Urban Development Authority|PWD|Private Construction|Self Practice,5 (B.Arch),"AutoCAD Certified|Revit|LEED AP|Architectural Registration"
18,Journalist,"Report news, conduct investigations and create content for media outlets",Any Stream,45%,University Entrance,University of Kashmir|GDC Bemina (BJMC),2.5-4,6-12,"Writing|Communication|Video Editing|Research|Interviewing|Digital Media|Social Media","Journalist|News Anchor|Content Creator|Reporter|Editor|Social Media Manager",Good - Media expanding with digital platforms,News Channels|Newspapers|Digital Media|PR Agencies|Government PR Departments,3 (BJMC) or 4 (BA Journalism),"Journalism Degree|Digital Marketing|Video Editing Certification"
19,Psychologist/Counselor,"Provide mental health support, counseling and therapy to individuals",Any Stream,45%,CUET|University Entrance,University of Kashmir|CUK,2.5-4,6-12,"Counseling|Psychology|Communication|Empathy|Research|Analysis|Active Listening","Psychologist|Counselor|Clinical Psychologist|School Counselor|HR Specialist|Therapist",Good - Mental health awareness increasing,Hospitals|Schools|Counseling Centers|NGOs|Corporate HR|Private Practice,3 (BA Psychology) + 2 (M.A/M.Sc),"M.Phil Clinical Psychology|RCI License|Counseling Certifications"
20,Hotel Manager,"Manage hotel operations, guest services and hospitality business",Any Stream,45%,NCHM JEE,IHM Srinagar|Private Hotel Management Institutes,2.5-4,6-15,"Hospitality|Communication|Cooking|Management|Customer Service|Event Planning","Hotel Manager|Chef|Event Manager|Front Office Manager|F&B Manager|Resort Manager",Good - Tourism industry in J&K has potential,Hotels|Resorts|Restaurants|Tourism Department|Event Management Companies|Houseboats,3-4 (Hotel Management Degree/Diploma),"Hotel Management Degree|Food Safety|Event Management Certification"
