Career_Field,Stream_Required,Minimum_Percentage,Entrance_Exam,Top_Colleges_JK,Average_Starting_Salary,5_Year_Salary,Job_Roles,Skills_Required,Growth_Prospects,JK_Opportunities
Computer Applications (BCA),Any Stream (Maths preferred),50%+,CUET/University Entrance,University of Kashmir|IUST|GDC Bemina|GDC Baramulla,₹3-5 LPA,₹8-15 LPA,Software Developer|Web Developer|Database Administrator|System Analyst|IT Support,Programming|Web Development|Database|Networking|Software Testing,Excellent - IT boom,IT Companies|Startups|Government IT Departments|Freelancing|Remote Jobs
Arts/Humanities (BA),Any Stream,40%+,CUET,University of Kashmir|GDC Srinagar|GDC Anantnag|GDC Pulwama,₹2-3.5 LPA,₹5-10 LPA,Teacher|Content Writer|Civil Services|Journalist|Social Worker|Researcher,Communication|Writing|Research|Critical Thinking|Language Skills,Moderate - Diverse opportunities,Schools|Colleges|Media Houses|NGOs|Government Departments|Civil Services
Science (B.Sc - Physics),Science (PCM),50%+,CUET,University of Kashmir|GDC Srinagar|GDC Baramulla|Sri Pratap College,₹2.5-4 LPA,₹6-12 LPA,Research Scientist|Teacher|Lab Technician|Data Analyst|Quality Control,Physics Concepts|Research|Lab Skills|Data Analysis|Problem Solving,Good - Research & Teaching,Universities|Research Labs|Schools|Government Labs|DRDO|ISRO (after higher studies)
Science (B.Sc - Chemistry),Science (PCM/PCB),50%+,CUET,University of Kashmir|GDC Srinagar|GDC Anantnag,₹2.5-4 LPA,₹6-12 LPA,Chemist|Lab Analyst|Quality Control|Research Scientist|Teacher,Chemistry Knowledge|Lab Techniques|Analytical Skills|Research|Safety Protocols,Good - Pharma & Research,Pharmaceutical Companies|Research Labs|Quality Control Labs|Schools|Colleges
Science (B.Sc - Mathematics),Science (PCM),50%+,CUET,University of Kashmir|GDC Srinagar|Sri Pratap College,₹3-5 LPA,₹7-15 LPA,Data Analyst|Statistician|Actuary|Teacher|Research Analyst,Mathematics|Statistics|Data Analysis|Problem Solving|Logical Thinking,Good - Data Science boom,Banks|Insurance|IT Companies|Research|Teaching|Data Analytics Firms
Science (B.Sc - Biology/Zoology/Botany),Science (PCB),50%+,CUET,University of Kashmir|GDC Srinagar|GDC Anantnag,₹2.5-4 LPA,₹6-10 LPA,Research Scientist|Lab Technician|Wildlife Biologist|Teacher|Environmental Consultant,Biology Knowledge|Research|Lab Skills|Field Work|Data Collection,Moderate - Research & Conservation,Universities|Research Labs|Wildlife Dept|Forest Dept|Schools|Environmental NGOs
Agriculture,Science (PCB/PCM/Agriculture),45%+,ICAR AIEEA,SKUAST Kashmir|SKUAST Jammu,₹3-5 LPA,₹7-12 LPA,Agricultural Officer|Farm Manager|Horticulturist|Soil Scientist|Extension Officer,Agriculture Science|Crop Management|Soil Science|Horticulture|Farm Management,Excellent - J&K is agriculture-based,Agriculture Dept|Horticulture Dept|SKUAST|Krishi Vigyan Kendras|Agri-startups
Hotel Management,Any Stream,45%+,NCHM JEE,IHM Srinagar|Private Hotel Management Institutes,₹2.5-4 LPA,₹6-15 LPA,Hotel Manager|Chef|Event Manager|Front Office Manager|Food & Beverage Manager,Hospitality|Communication|Cooking|Management|Customer Service,Good - Tourism industry in J&K,Hotels|Resorts|Restaurants|Tourism Dept|Event Management Companies
Architecture,Science (PCM),50%+,NATA/JEE Main Paper 2,NIT Srinagar (B.Arch)|Private Architecture Colleges,₹3.5-6 LPA,₹8-18 LPA,Architect|Urban Planner|Interior Designer|Landscape Architect|Project Consultant,Design|AutoCAD|3D Modeling|Creativity|Structural Knowledge|Visualization,Good - Urban development,Architecture Firms|Urban Development Authority|PWD|Private Construction|Self Practice
Journalism & Mass Communication,Any Stream,45%+,University Entrance,University of Kashmir|GDC Bemina (BJMC),₹2.5-4 LPA,₹6-12 LPA,Journalist|News Anchor|Content Creator|PR Manager|Social Media Manager,Writing|Communication|Video Editing|Research|Interviewing|Digital Media,Good - Media expanding,News Channels|Newspapers|Digital Media|PR Agencies|Government PR Departments
Education (B.Ed),Any Graduate,50%+,B.Ed Entrance,University of Kashmir|CUK|Govt Colleges of Education,₹2.5-4 LPA,₹5-10 LPA,Teacher|Education Officer|School Principal|Curriculum Designer|Education Consultant,Teaching|Communication|Subject Knowledge|Classroom Management|Patience,Good - Teaching always needed,Government Schools|Private Schools|Coaching Centers|Education Dept
Veterinary Science,Science (PCB),50%+,NEET,SKUAST Kashmir|SKUAST Jammu,₹3-5 LPA,₹7-15 LPA,Veterinary Doctor|Animal Husbandry Officer|Livestock Inspector|Poultry Specialist,Animal Science|Veterinary Medicine|Surgery|Animal Care|Diagnosis,Good - Livestock sector important,Animal Husbandry Dept|Veterinary Hospitals|Livestock Farms|Poultry Farms|Dairy Farms
Paramedical (Lab Tech/Radiology/OT Tech),Science (PCB),45%+,State Paramedical Entrance,Govt Paramedical Institutes Srinagar/Jammu,₹2-3.5 LPA,₹4-8 LPA,Lab Technician|Radiographer|OT Technician|Dialysis Technician|ECG Technician,Medical Lab Techniques|Radiology|Patient Care|Equipment Handling|Medical Knowledge,Good - Healthcare expanding,Hospitals|Diagnostic Centers|Clinics|Health Centers
Dental (BDS),Science (PCB),50%+ (NEET),NEET,Govt Dental College Srinagar|Private Dental Colleges,₹4-7 LPA,₹10-20 LPA,Dentist|Dental Surgeon|Orthodontist|Oral Surgeon|Dental Consultant,Dental Procedures|Patient Care|Surgery|Diagnosis|Communication,Good - Dental care awareness growing,Government Dental Hospitals|Private Clinics|Dental Colleges|Self Practice
Physiotherapy (BPT),Science (PCB),50%+,NEET/State Entrance,Govt/Private Physiotherapy Colleges,₹2.5-4 LPA,₹5-10 LPA,Physiotherapist|Rehabilitation Specialist|Sports Physiotherapist|Clinical Physiotherapist,Physiotherapy Techniques|Patient Care|Rehabilitation|Exercise Therapy|Communication,Good - Sports & healthcare,Hospitals|Rehabilitation Centers|Sports Academies|Clinics|Self Practice
Psychology,Any Stream,45%+,CUET,University of Kashmir|CUK,₹2.5-4 LPA,₹6-12 LPA,Psychologist|Counselor|HR Specialist|Clinical Psychologist|Researcher,Counseling|Psychology|Communication|Empathy|Research|Analysis,Good - Mental health awareness,Hospitals|Schools|Counseling Centers|NGOs|Corporate HR|Private Practice
Social Work (BSW/MSW),Any Stream,45%+,University Entrance,University of Kashmir|GDC Bemina,₹2-3.5 LPA,₹5-10 LPA,Social Worker|Community Developer|NGO Manager|Project Coordinator|Welfare Officer,Social Work|Community Development|Communication|Empathy|Project Management,Moderate - NGO sector,NGOs|Government Welfare Departments|Community Centers|Rural Development|Child Welfare
Fashion Design,Any Stream,40%+,NIFT/State Entrance,Private Fashion Design Institutes,₹2-4 LPA,₹5-12 LPA,Fashion Designer|Textile Designer|Costume Designer|Fashion Stylist|Boutique Owner,Design|Creativity|Sewing|Fashion Trends|Color Theory|Sketching,Moderate - Growing industry,Boutiques|Fashion Houses|Textile Industry|Self Business|E-commerce
Animation & Multimedia,Any Stream,45%+,Institute Entrance,Private Animation Institutes,₹2.5-5 LPA,₹6-15 LPA,Animator|VFX Artist|Graphic Designer|Video Editor|Game Designer,Animation|VFX|Graphic Design|Video Editing|Creativity|Software Skills,Good - Digital media boom,Animation Studios|Media Houses|Advertising Agencies|Gaming Companies|Freelancing
Banking & Finance,Commerce/Any,50%+,IBPS/SBI PO/Clerk,J&K Bank|SBI|PNB|Other Banks,₹3-5 LPA,₹7-15 LPA,Bank Officer|Loan Officer|Financial Advisor|Branch Manager|Credit Analyst,Banking|Finance|Customer Service|Communication|Numerical Ability,Good - Banking sector stable,J&K Bank|Nationalized Banks|Private Banks|Cooperative Banks|NBFCs
Civil Services (IAS/IPS/IFS),Any Graduate,55%+,UPSC CSE,N/A - Competitive Exam,₹7-10 LPA,₹15-25 LPA,IAS Officer|IPS Officer|IFS Officer|District Collector|Superintendent of Police,General Knowledge|Current Affairs|Leadership|Decision Making|Communication,Excellent - Prestigious & Powerful,Government Administrative Services|Police|Foreign Services|Revenue|Development
